月,日,場所,回,日次,場所コード
02,01,東京,01,02,05
02,01,京都,02,02,08
02,01,小倉,01,04,10
02,07,東京,01,03,05
02,07,京都,02,03,08
02,07,小倉,01,05,10
02,08,東京,01,04,05
02,08,京都,02,04,08
02,08,小倉,01,06,10
02,14,東京,01,05,05
02,14,京都,02,05,08
02,14,小倉,01,07,10
02,15,東京,01,06,05
02,15,京都,02,06,08
02,15,小倉,01,08,10
02,21,東京,01,07,05
02,21,阪神,01,01,09
02,21,小倉,01,09,10
02,22,東京,01,08,05
02,22,阪神,01,02,09
02,22,小倉,01,10,10
02,28,中山,02,01,06
02,28,阪神,01,03,09
02,28,小倉,01,11,10
03,01,中山,02,02,06
03,01,阪神,01,04,09
03,01,小倉,01,12,10
03,07,中山,02,03,06
03,07,阪神,01,05,09
03,08,中山,02,04,06
03,08,阪神,01,06,09
03,14,中山,02,05,06
03,14,阪神,01,07,09
03,14,中京,01,01,07
03,15,中山,02,06,06
03,15,阪神,01,08,09
03,15,中京,01,02,07
03,21,中山,02,07,06
03,21,阪神,01,09,09
03,21,中京,01,03,07
03,22,中山,02,08,06
03,22,阪神,01,10,09
03,22,中京,01,04,07
03,28,中山,03,01,06
03,28,阪神,02,01,09
03,28,中京,01,05,07
03,29,中山,03,02,06
03,29,阪神,02,02,09
03,29,中京,01,06,07
04,04,中山,03,03,06
04,04,阪神,02,03,09
04,05,中山,03,04,06
04,05,阪神,02,04,09
04,11,中山,03,05,06
04,11,阪神,02,05,09
04,11,福島,01,01,03
04,12,中山,03,06,06
04,12,阪神,02,06,09
04,12,福島,01,02,03
04,18,中山,03,07,06
04,18,阪神,02,07,09
04,18,福島,01,03,03
04,19,中山,03,08,06
04,19,阪神,02,08,09
04,19,福島,01,04,03
04,25,東京,02,01,05
04,25,京都,03,01,08
04,25,福島,01,05,03
04,26,東京,02,02,05
04,26,京都,03,02,08
04,26,福島,01,06,03
05,02,東京,02,03,05
05,02,京都,03,03,08
05,02,新潟,01,01,04
05,03,東京,02,04,05
05,03,京都,03,04,08
05,03,新潟,01,02,04
05,09,東京,02,05,05
05,09,京都,03,05,08
05,09,新潟,01,03,04
05,10,東京,02,06,05
05,10,京都,03,06,08
05,10,新潟,01,04,04
05,16,東京,02,07,05
05,16,京都,03,07,08
05,16,新潟,01,05,04
05,17,東京,02,08,05
05,17,京都,03,08,08
05,17,新潟,01,06,04
05,23,東京,02,09,05
05,23,京都,03,09,08
05,23,新潟,01,07,04
05,24,東京,02,10,05
05,24,京都,03,10,08
05,24,新潟,01,08,04
05,30,東京,02,11,05
05,30,京都,03,11,08
05,31,東京,02,12,05
05,31,京都,03,12,08
06,06,東京,03,01,05
06,06,阪神,03,01,09
06,07,東京,03,02,05
06,07,阪神,03,02,09
06,13,東京,03,03,05
06,13,阪神,03,03,09
06,13,函館,01,01,02
06,14,東京,03,04,05
06,14,阪神,03,04,09
06,14,函館,01,02,02
06,20,東京,03,05,05
06,20,阪神,03,05,09
06,20,函館,01,03,02
06,21,東京,03,06,05
06,21,阪神,03,06,09
06,21,函館,01,04,02
06,27,福島,02,01,03
06,27,小倉,02,01,10
06,27,函館,01,05,02
06,28,福島,02,02,03
06,28,小倉,02,02,10
06,28,函館,01,06,02
07,04,福島,02,03,03
07,04,小倉,02,03,10
07,04,函館,01,07,02
07,05,福島,02,04,03
07,05,小倉,02,04,10
07,05,函館,01,08,02
07,11,福島,02,05,03
07,11,小倉,02,05,10
07,11,函館,01,09,02
07,12,福島,02,06,03
07,12,小倉,02,06,10
07,12,函館,01,10,02
07,18,福島,02,07,03
07,18,小倉,02,07,10
07,18,函館,01,11,02
07,19,福島,02,08,03
07,19,小倉,02,08,10
07,19,函館,01,12,02
07,25,新潟,02,01,04
07,25,中京,02,01,07
07,25,札幌,01,01,01
07,26,新潟,02,02,04
07,26,中京,02,02,07
07,26,札幌,01,02,01
08,01,新潟,02,03,04
08,01,中京,02,03,07
08,01,札幌,01,03,01
08,02,新潟,02,04,04
08,02,中京,02,04,07
08,02,札幌,01,04,01
08,08,新潟,02,05,04
08,08,中京,02,05,07
08,08,札幌,01,05,01
08,09,新潟,02,06,04
08,09,中京,02,06,07
08,09,札幌,01,06,01
08,15,新潟,02,07,04
08,15,中京,02,07,07
08,15,札幌,01,07,01
08,16,新潟,02,08,04
08,16,中京,02,08,07
08,16,札幌,01,08,01
08,22,新潟,03,01,04
08,22,中京,03,01,07
08,22,札幌,02,01,01
08,23,新潟,03,02,04
08,23,中京,03,02,07
08,23,札幌,02,02,01
08,29,新潟,03,03,04
08,29,中京,03,03,07
08,29,札幌,02,03,01
08,30,新潟,03,04,04
08,30,中京,03,04,07
08,30,札幌,02,04,01
09,05,中山,04,01,06
09,05,阪神,04,01,09
09,05,札幌,02,05,01
09,06,中山,04,02,06
09,06,阪神,04,02,09
09,06,札幌,02,06,01
09,12,中山,04,03,06
09,12,阪神,04,03,09
09,13,中山,04,04,06
09,13,阪神,04,04,09
09,19,中山,04,05,06
09,19,阪神,04,05,09
09,20,中山,04,06,06
09,20,阪神,04,06,09
09,21,中山,04,07,06
09,21,阪神,04,07,09
09,26,中山,04,08,06
09,26,阪神,04,08,09
09,27,中山,04,09,06
09,27,阪神,04,09,09
10,03,東京,04,01,05
10,03,京都,04,01,08
10,04,東京,04,02,05
10,04,京都,04,02,08
10,10,東京,04,03,05
10,10,京都,04,03,08
10,11,東京,04,04,05
10,11,京都,04,04,08
10,12,東京,04,05,05
10,12,京都,04,05,08
10,17,東京,04,06,05
10,17,京都,04,06,08
10,17,新潟,04,01,04
10,18,東京,04,07,05
10,18,京都,04,07,08
10,18,新潟,04,02,04
10,24,東京,04,08,05
10,24,京都,04,08,08
10,24,新潟,04,03,04
10,25,東京,04,09,05
10,25,京都,04,09,08
10,25,新潟,04,04,04
10,31,東京,04,10,05
10,31,京都,04,10,08
11,01,東京,04,11,05
11,01,京都,04,11,08
11,07,東京,05,01,05
11,07,京都,05,01,08
11,07,福島,03,01,03
11,08,東京,05,02,05
11,08,京都,05,02,08
11,08,福島,03,02,03
11,14,東京,05,03,05
11,14,京都,05,03,08
11,14,福島,03,03,03
11,15,東京,05,04,05
11,15,京都,05,04,08
11,15,福島,03,04,03
11,21,京都,05,05,08
11,21,福島,03,05,03
11,22,東京,05,05,05
11,22,京都,05,06,08
11,23,東京,05,06,05
11,23,福島,03,06,03
11,28,東京,05,07,05
11,28,京都,05,07,08
11,29,東京,05,08,05
11,29,京都,05,08,08
12,05,中山,05,01,06
12,05,阪神,05,01,09
12,05,中京,04,01,07
12,06,中山,05,02,06
12,06,阪神,05,02,09
12,06,中京,04,02,07
12,12,中山,05,03,06
12,12,阪神,05,03,09
12,12,中京,04,03,07
12,13,中山,05,04,06
12,13,阪神,05,04,09
12,13,中京,04,04,07
12,19,中山,05,05,06
12,19,阪神,05,05,09
12,19,中京,04,05,07
12,20,中山,05,06,06
12,20,阪神,05,06,09
12,20,中京,04,06,07
12,26,中山,05,07,06
12,26,阪神,05,07,09
12,27,中山,05,08,06
12,27,阪神,05,08,09